tenure_height,txs,read_count,read_length,runtime,write_count,write_length
170768,13,9448,17170609,91335772,681,61738
170767,32,8089,11770998,88259567,553,44968
170766,69,12601,23444291,122495509,959,84892
170765,34,8708,15109772,73578250,597,48890
170764,48,13959,22090391,294407457,930,95645
170763,79,14934,18899871,351871002,1194,95833
170762,14,4848,10313020,48060062,403,36746
170761,54,11864,18704525,281770499,974,108089
170760,15,9961,9175354,146518155,302,26538
170759,7,6744,13456187,45152285,521,51512
170758,55,14827,21869264,164624765,945,74258
170757,27,4122,3046421,51916928,199,10650
170756,34,12015,17635797,138917757,782,64647
170755,36,7569,14879730,74683738,572,50261
170754,35,9897,18247363,96406798,728,61636
170753,63,11519,18153826,110778018,801,68274
170752,46,12743,22028880,142691173,946,81619
170751,29,9056,16715956,62704413,570,55599
170750,32,10388,18361434,101291354,780,60124
170749,39,10613,20238193,98353856,651,61096
170748,46,10935,17717225,149673957,831,64373
170747,19,7155,14628548,51874491,593,55593
170746,81,13602,21196203,149305492,1017,75038
170745,17,8668,14722743,74243005,640,58200
170744,39,8817,17478246,78691645,753,60674
170743,42,14333,27153233,114787664,1062,113341
170742,51,14371,31551852,126080032,1172,110718
170741,28,14995,28956084,190983262,1187,102378
170740,88,14875,25675748,193733011,1134,90639
170739,25,14390,26395298,111768032,1061,98410
170738,88,12434,24951249,118441977,964,92411
170737,89,11689,11028398,341101310,569,68218
170736,75,14013,16607129,406969070,492,64781
170735,75,14811,33774447,125727185,1038,101997
170734,67,13684,23650114,167359140,902,81452
170733,53,14661,8932323,221968393,399,29952
170732,81,14804,25940917,150765357,974,88939
170731,77,9454,22345223,249169924,927,96018
170730,54,4564,8413716,52761629,300,25745
170729,46,13398,21378962,124209463,889,73162
170728,82,14709,20096710,196731018,839,66773
170727,50,14835,27709119,175490895,1010,86920
170726,58,14698,28273922,157335091,1113,112715
170725,70,13805,19956852,144246236,911,83790
170724,90,14931,23641598,376518597,1065,145350
170723,70,13865,17347065,246061031,663,70199
170722,41,14609,27164785,198055769,1156,98083
170721,28,12871,26101144,102695858,998,97204
170720,82,12423,23929484,111742514,858,74550
170719,34,14664,29426255,107288061,1122,107140
170718,42,12784,16495154,146237885,714,58286
170717,88,14984,24499905,237308626,975,79190
170716,110,14814,30511980,184212393,1112,89802
170715,56,14955,29477978,147833659,1111,93101
170714,81,8610,17201574,194874928,835,78967
170713,24,6647,4678002,90104621,215,14626
170712,39,8416,6114274,129981020,304,24919
