block,tenure_height,txs,read_count,read_length,runtime,write_count,write_length
174118,171908,2,0,0,0,0,0
174117,171908,1,0,0,0,0,0
174116,171908,1,0,0,0,0,0
174115,171908,1,0,0,0,0,0
174114,171908,1,0,0,0,0,0
174113,171908,1,0,0,0,0,0
174112,171908,1,0,0,0,0,0
174111,171908,1,0,0,0,0,0
174110,171908,1,0,0,0,0,0
174109,171908,1,0,0,0,0,0
174108,171908,1,0,0,0,0,0
174107,171908,1,0,0,0,0,0
174106,171908,1,0,0,0,0,0
174105,171908,2,0,0,0,0,0
174104,171908,1,0,0,0,0,0
174103,171908,1,0,0,0,0,0
174102,171908,1,0,0,0,0,0
174101,171908,1,0,0,0,0,0
174100,171908,1,0,0,0,0,0
174099,171908,1,0,0,0,0,0
174098,171908,1,0,0,0,0,0
174097,171908,1,0,0,0,0,0
174096,171908,1,0,0,0,0,0
174095,171908,1,4,76974,84890,1,105
174094,171908,1,0,0,0,0,0
174093,171908,2,0,0,0,0,0
174092,171908,4,0,0,0,0,0
174091,171908,1,0,0,0,0,0
174090,171908,1,0,0,0,0,0
174089,171908,2,0,0,0,0,0
174088,171908,1,0,0,0,0,0
174087,171908,2,0,0,0,0,0
174086,171908,1,0,0,0,0,0
174085,171908,2,0,0,0,0,0
174084,171908,2,0,0,0,0,0
174083,171908,2,0,0,0,0,0
174082,171908,2,0,0,0,0,0
174081,171908,1,0,0,0,0,0
174080,171908,1,0,0,0,0,0
174079,171908,1,0,0,0,0,0
174078,171908,1,0,0,0,0,0
174077,171908,2,0,0,0,0,0
174076,171908,1,0,0,0,0,0
174075,171908,2,0,0,0,0,0
174074,171908,1,0,0,0,0,0
174073,171908,1,0,0,0,0,0
174072,171908,1,0,0,0,0,0
174071,171908,1,0,0,0,0,0
174070,171908,1,0,0,0,0,0
174069,171908,1,5,5347,36386,1,107
174068,171908,2,0,0,0,0,0
174067,171908,2,0,0,0,0,0
174066,171908,1,17,5889,65405,7,105
174065,171908,4,727,3147500,12576353,18,4262
174064,171908,2,36,25867,244802,6,209
174063,171908,1,5,5347,36386,1,107
174062,171908,1,0,0,0,0,0
174061,171908,4,71,46478,430346,10,204
174060,171908,5,237,420061,1396602,20,1634
174059,171908,4,65,71973,651658,9,1415
174058,171908,2,64,41076,418905,10,204
174057,171908,3,361,784491,1355304,29,381
174056,171908,1,0,0,0,0,0
174055,171908,4,44,50674,404154,8,391
174054,171908,1,0,0,0,0,0
174053,171908,4,94,198755,7714377,17,1356
174052,171908,2,28,20253,113992,7,146
174051,171908,3,35,63372,193892,8,384
174050,171908,15,142,93010,860746,20,408
174049,171908,4,165,259160,1039660,16,986
174048,171908,2,294,604489,2176558,24,1962
174047,171908,3,12,19032,32442,2,2
174046,171908,2,60,52843,278033,8,144
174045,171908,4,51,47671,283185,8,229
174044,171908,3,38,25922,219857,5,102
174043,171908,1,45,84983,594734,7,537
174042,171908,2,5,5365,12071,1,1
174041,171908,3,204,399486,1186094,15,1532
174040,171908,3,38,25903,246875,6,209
174039,171908,5,135,87535,876269,21,515
174038,171908,5,92,52448,508989,20,392
174037,171908,3,39,30174,283565,6,314
174036,171908,3,223,408449,1336039,16,1445
174035,171908,13,108,69462,398632,29,766
174034,171908,2,33,31332,189508,7,105
174033,171908,3,164,256895,1007380,15,880
174032,171908,2,39,30072,226710,6,103
174031,171908,3,282,656735,2935644,29,2377
174030,171908,5,88,52367,495751,17,309
174029,171908,4,133,238517,800766,10,762
174028,171908,7,421,1075868,3879819,42,3541
174027,171908,2,33,20556,210489,5,102
174026,171908,5,390,315737,88432494,78,20249
174025,171908,1,6,9516,16221,1,1
174024,171908,2,0,0,0,0,0
174023,171908,12,355,493786,2127345,42,2087
174022,171908,4,218,436394,2501789,31,2079
174021,171908,4,29,24390,93795,7,40
174020,171908,7,101,103759,563466,14,566
174019,171908,3,153,116944,739114,17,307
174018,171908,6,319,153692,845615,52,1444
174017,171908,6,605,2618560,5585583,33,3759
174016,171908,40,8187,11518670,63167393,315,19421
174015,171908,2,0,0,0,0,0
174014,171907,1,0,0,0,0,0
174013,171907,2,0,0,0,0,0
174012,171907,2,66,41112,420978,10,204
174011,171907,3,99,61722,631521,15,306
174010,171907,78,6333,14153874,134914221,614,59740
174009,171907,87,8490,11094479,55088545,422,24102
174008,171907,2,0,0,0,0,0
174007,171906,167,10813,14920767,248675930,976,78022
174006,171906,2,0,0,0,0,0
174005,171905,1,0,0,0,0,0
174004,171905,1,0,0,0,0,0
174003,171905,1,0,0,0,0,0
174002,171905,1,0,0,0,0,0
174001,171905,1,0,0,0,0,0
174000,171905,1,0,0,0,0,0
173999,171905,1,0,0,0,0,0
173998,171905,1,0,0,0,0,0
173997,171905,1,0,0,0,0,0
173996,171905,1,0,0,0,0,0
173995,171905,1,0,0,0,0,0
173994,171905,1,0,0,0,0,0
173993,171905,1,0,0,0,0,0
173992,171905,1,0,0,0,0,0
173991,171905,5,0,0,0,0,0
173990,171905,1,0,0,0,0,0
173989,171905,1,0,0,0,0,0
173988,171905,1,0,0,0,0,0
173987,171905,1,0,0,0,0,0
